,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,,IO,AO,BO,CO,DO,AO2,BO2,CO2,DO2,ROMO,RAMO,JMPO,OI,RAMI,MARI,MPAGEI,AI,BI,CI,DI,PCC,HALT,FIRST,CU VALUE,,UNIQUE VALUES,,ASSEMBLER INST
OPP,OPP-0x7E,,,,x,,,,x,,,,,,,,,,,x,,,,40088,37,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c*c
OPP,OPP-0x7F,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c*d
OPP,OPP-0x80,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*a
OPP,OPP-0x81,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*b
OPP,OPP-0x82,,,,,x,,,x,,,,,,,,,,,,x,,,80090,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*c
OPP,OPP-0x83,,,,,x,,,,x,,,,,,,,,,,x,,,80110,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d*d
OPP,OPP-0x84,,x,,,,x,,,,,,,,,,,x,,,,,,10022,8,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*a
OPP,OPP-0x85,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*b
OPP,OPP-0x86,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*c
OPP,OPP-0x87,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a.*d
OPP,OPP-0x88,,,x,,,x,,,,,,,,,,,,x,,,,,20024,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*a
OPP,OPP-0x89,,,x,,,,x,,,,,,,,,,,x,,,,,20044,23,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*b
OPP,OPP-0x8A,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*c
OPP,OPP-0x8B,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b.*d
OPP,OPP-0x8C,,,,x,,x,,,,,,,,,,,,,x,,,,40028,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*a
OPP,OPP-0x8D,,,,x,,,x,,,,,,,,,,,,x,,,,40048,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*b
OPP,OPP-0x8E,,,,x,,,,x,,,,,,,,,,,x,,,,40088,37,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*c
OPP,OPP-0x8F,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c.*d
OPP,OPP-0x90,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*a
OPP,OPP-0x91,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*b
OPP,OPP-0x92,,,,,x,,,x,,,,,,,,,,,,x,,,80090,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*c
OPP,OPP-0x93,,,,,x,,,,x,,,,,,,,,,,x,,,80110,4B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d.*d
OPP,OPP-0x94,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a//b
OPP,OPP-0x95,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a//c
OPP,OPP-0x96,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a//d
OPP,OPP-0x97,,,x,,,x,,,,,,,,,,,,x,,,,,20024,21,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b//a
OPP,OPP-0x98,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b//c
OPP,OPP-0x99,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b//d
OPP,OPP-0x9A,,,,x,,x,,,,,,,,,,,,,x,,,,40028,33,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c//a
OPP,OPP-0x9B,,,,x,,,x,,,,,,,,,,,,x,,,,40048,35,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c//b
OPP,OPP-0x9C,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c//d
OPP,OPP-0x9D,,,,,x,x,,,,,,,,,,,,,,x,,,80030,45,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d//a
OPP,OPP-0x9E,,,,,x,,x,,,,,,,,,,,,,x,,,80050,47,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d//b
OPP,OPP-0x9F,,,,,x,,,x,,,,,,,,,,,,x,,,80090,49,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp d//c
OPP,OPP-0xA0,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a&b
OPP,OPP-0xA1,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a&c
OPP,OPP-0xA2,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a&d
OPP,OPP-0xA3,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b&c
OPP,OPP-0xA4,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b&d
OPP,OPP-0xA5,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c&d
OPP,OPP-0xA6,,x,,,,,x,,,,,,,,,,x,,,,,,10042,A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a|b
OPP,OPP-0xA7,,x,,,,,,x,,,,,,,,,x,,,,,,10082,C,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a|c
OPP,OPP-0xA8,,x,,,,,,,x,,,,,,,,x,,,,,,10102,F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp a|d
OPP,OPP-0xA9,,,x,,,,,x,,,,,,,,,,x,,,,,20084,25,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b|c
OPP,OPP-0xAA,,,x,,,,,,x,,,,,,,,,x,,,,,20104,27,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp b|d
OPP,OPP-0xAB,,,,x,,,,,x,,,,,,,,,,x,,,,40108,39,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,opp c|d
OPP,OPP-0xAC,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OPP,OPP-0xAD,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OPP,OPP-0xAE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OPP,OPP-0xAF,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
LOAD,LOAD-0xB0,,x,,,,,,,,,,,,,x,,,,,,,,4002,32,,LOAD-0xB0,,,,,,,,,,,x,,,,,,x,,,,,,10400,12,,,,load ram[a] a
LOAD,LOAD-0xB1,,x,,,,,,,,,,,,,x,,,,,,,,4002,32,,LOAD-0xB1,,,,,,,,,,,x,,,,,,,x,,,,,20400,28,,,,load ram[a] b
LOAD,LOAD-0xB2,,x,,,,,,,,,,,,,x,,,,,,,,4002,32,,LOAD-0xB2,,,,,,,,,,,x,,,,,,,,x,,,,40400,3A,,,,load ram[a] c
LOAD,LOAD-0xB3,,x,,,,,,,,,,,,,x,,,,,,,,4002,32,,LOAD-0xB3,,,,,,,,,,,x,,,,,,,,,x,,,80400,4C,,,,load ram[a] d
LOAD,LOAD-0xB4,,,x,,,,,,,,,,,,x,,,,,,,,4004,34,,LOAD-0xB4,,,,,,,,,,,x,,,,,,x,,,,,,10400,12,,,,load ram[b] a
LOAD,LOAD-0xB5,,,x,,,,,,,,,,,,x,,,,,,,,4004,34,,LOAD-0xB5,,,,,,,,,,,x,,,,,,,x,,,,,20400,28,,,,load ram[b] b
LOAD,LOAD-0xB6,,,x,,,,,,,,,,,,x,,,,,,,,4004,34,,LOAD-0xB6,,,,,,,,,,,x,,,,,,,,x,,,,40400,3A,,,,load ram[b] c
LOAD,LOAD-0xB7,,,x,,,,,,,,,,,,x,,,,,,,,4004,34,,LOAD-0xB7,,,,,,,,,,,x,,,,,,,,,x,,,80400,4C,,,,load ram[b] d
LOAD,LOAD-0xB8,,,,x,,,,,,,,,,,x,,,,,,,,4008,36,,LOAD-0xB8,,,,,,,,,,,x,,,,,,x,,,,,,10400,12,,,,load ram[c] a
LOAD,LOAD-0xB9,,,,x,,,,,,,,,,,x,,,,,,,,4008,36,,LOAD-0xB9,,,,,,,,,,,x,,,,,,,x,,,,,20400,28,,,,load ram[c] b
LOAD,LOAD-0xBA,,,,x,,,,,,,,,,,x,,,,,,,,4008,36,,LOAD-0xBA,,,,,,,,,,,x,,,,,,,,x,,,,40400,3A,,,,load ram[c] c
LOAD,LOAD-0xBB,,,,x,,,,,,,,,,,x,,,,,,,,4008,36,,LOAD-0xBB,,,,,,,,,,,x,,,,,,,,,x,,,80400,4C,,,,load ram[c] d
LOAD,LOAD-0xBC,,,,,x,,,,,,,,,,x,,,,,,,,4010,38,,LOAD-0xBC,,,,,,,,,,,x,,,,,,x,,,,,,10400,12,,,,load ram[d] a
LOAD,LOAD-0xBD,,,,,x,,,,,,,,,,x,,,,,,,,4010,38,,LOAD-0xBD,,,,,,,,,,,x,,,,,,,x,,,,,20400,28,,,,load ram[d] b
LOAD,LOAD-0xBE,,,,,x,,,,,,,,,,x,,,,,,,,4010,38,,LOAD-0xBE,,,,,,,,,,,x,,,,,,,,x,,,,40400,3A,,,,load ram[d] c
LOAD,LOAD-0xBF,,,,,x,,,,,,,,,,x,,,,,,,,4010,38,,LOAD-0xBF,,,,,,,,,,,x,,,,,,,,,x,,,80400,4C,,,,load ram[d] d
LOAD,LOAD-0xC0,,,,,,,,,,x,,,,,,,x,,,,x,,110200,16,,LOAD-0xC0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,load rom a {number}
LOAD,LOAD-0xC1,,,,,,,,,,x,,,,,,,,x,,,x,,120200,17,,LOAD-0xC1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,load rom b {number}
LOAD,LOAD-0xC2,,,,,,,,,,x,,,,,,,,,x,,x,,140200,18,,LOAD-0xC2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,load rom c {number}
LOAD,LOAD-0xC3,,,,,,,,,,x,,,,,,,,,,x,x,,180200,19,,LOAD-0xC3,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,load rom d {number}
LOAD,LOAD-0xC4,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,LOAD-0xC4,,,,,,,,,,,x,,,,,,x,,,,,,10400,12,,,,load ram[{number}] a
LOAD,LOAD-0xC5,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,LOAD-0xC5,,,,,,,,,,,x,,,,,,,x,,,,,20400,28,,,,load ram[{number}] b
LOAD,LOAD-0xC6,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,LOAD-0xC6,,,,,,,,,,,x,,,,,,,,x,,,,40400,3A,,,,load ram[{number}] c
LOAD,LOAD-0xC7,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,LOAD-0xC7,,,,,,,,,,,x,,,,,,,,,x,,,80400,4C,,,,load ram[{number}] d
LOAD,LOAD-0xC8,,x,,,,,,,,,,,,,,x,,,,,,,8002,44,,LOAD-0xC8,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,set a rampage
LOAD,LOAD-0xC9,,,x,,,,,,,,,,,,,x,,,,,,,8004,46,,LOAD-0xC9,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,set b rampage
LOAD,LOAD-0xCA,,,,x,,,,,,,,,,,,x,,,,,,,8008,48,,LOAD-0xCA,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,set c rampage
LOAD,LOAD-0xCB,,,,,x,,,,,,,,,,,x,,,,,,,8010,4A,,LOAD-0xCB,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,set d rampage
LOAD,LOAD-0xCC,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xCC,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
LOAD,LOAD-0xCD,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xCD,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
LOAD,LOAD-0xCE,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xCE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
LOAD,LOAD-0xCF,,,,,,,,,,,,,,,,,,,,,,,0,0,,LOAD-0xCF,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,
SAVE,SAVE-0xD0,,x,,,,,,,,,,,,,x,,,,,,,,4002,32,,SAVE-0xD0,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save a mar
SAVE,SAVE-0xD1,,,x,,,,,,,,,,,,x,,,,,,,,4004,34,,SAVE-0xD1,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save b mar
SAVE,SAVE-0xD2,,,,x,,,,,,,,,,,x,,,,,,,,4008,36,,SAVE-0xD2,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save c mar
SAVE,SAVE-0xD3,,,,,x,,,,,,,,,,x,,,,,,,,4010,38,,SAVE-0xD3,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save d mar
SAVE,SAVE-0xD4,,x,,,,,,,,,,,,x,,,,,,,,,2002,20,,SAVE-0xD4,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save a ram[current]
SAVE,SAVE-0xD5,,,x,,,,,,,,,,,x,,,,,,,,,2004,22,,SAVE-0xD5,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save b ram[current]
SAVE,SAVE-0xD6,,,,x,,,,,,,,,,x,,,,,,,,,2008,24,,SAVE-0xD6,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save c ram[current]
SAVE,SAVE-0xD7,,,,,x,,,,,,,,,x,,,,,,,,,2010,26,,SAVE-0xD7,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,save d ram[current]
SAVE,SAVE-0xD8,,x,,,,,,,,,,,,,x,,,,,,,,4002,32,,SAVE-0xD8,,x,,,,,,,,,,,,x,,,,,,,,,2002,20,,,,save a ram[a]
SAVE,SAVE-0xD9,,,x,,,,,,,,,,,,x,,,,,,,,4004,34,,SAVE-0xD9,,,x,,,,,,,,,,,x,,,,,,,,,2004,22,,,,save b ram[c]
SAVE,SAVE-0xDA,,,,x,,,,,,,,,,,x,,,,,,,,4008,36,,SAVE-0xDA,,,,x,,,,,,,,,,x,,,,,,,,,2008,24,,,,save c ram[d]
SAVE,SAVE-0xDB,,,,,x,,,,,,,,,,x,,,,,,,,4010,38,,SAVE-0xDB,,,,,x,,,,,,,,,x,,,,,,,,,2010,26,,,,save d ram[d]
SAVE,SAVE-0xDC,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,SAVE-0xDC,,x,,,,,,,,,,,,x,,,,,,,,,2002,20,,,,save a ram[{number}]
SAVE,SAVE-0xDD,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,SAVE-0xDD,,,x,,,,,,,,,,,x,,,,,,,,,2004,22,,,,save b ram[{number}]
SAVE,SAVE-0xDE,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,SAVE-0xDE,,,,x,,,,,,,,,,x,,,,,,,,,2008,24,,,,save c ram[{number}]
SAVE,SAVE-0xDF,,,,,,,,,,x,,,,,x,,,,,,x,,104200,13,,SAVE-0xDF,,,,,x,,,,,,,,,x,,,,,,,,,2010,26,,,,save d ram[{number}]
IN,IN-0xE0,x,,,,,,,,,,,,,,,,x,,,,,,10001,1,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,in a
IN,IN-0xE1,x,,,,,,,,,,,,,,,,,x,,,,,20001,1B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,in b
IN,IN-0xE2,x,,,,,,,,,,,,,,,,,,x,,,,40001,2D,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,in c
IN,IN-0xE3,x,,,,,,,,,,,,,,,,,,,x,,,80001,3F,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,in d
IN,IN-0xE4,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xE5,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xE6,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xE7,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xE8,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xE9,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xEA,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xEB,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xEC,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xED,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xEE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
IN,IN-0xEF,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xF0,,x,,,,,,,,,,,x,,,,,,,,,,1002,6,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,out a
OUT,OUT-0xF1,,,x,,,,,,,,,,x,,,,,,,,,,1004,9,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,out b
OUT,OUT-0xF2,,,,x,,,,,,,,,x,,,,,,,,,,1008,B,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,out c
OUT,OUT-0xF3,,,,,x,,,,,,,,x,,,,,,,,,,1010,E,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,out d
OUT,OUT-0xF4,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xF5,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xF6,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xF7,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xF8,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xF9,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xFA,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xFB,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xFC,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xFD,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
OUT,OUT-0xFE,,,,,,,,,,,,,,,,,,,,,,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,
HALT,HALT-0xFF,,,,,,,,,,,,,,,,,,,,,,x,200000,1A,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,pause